,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
73,1569.417,3261.5,125.75,518.125,11.709,3456.333,3900,5592.042,538.041,944.458,28.208,1734.209,0.25,1785.375,0.208,1609
74,1563.084,3115.208,125.667,523.25,11.666,3505.209,4064.375,5513.083,529.792,930.209,27.875,1734.458,0.25,1728.25,0.208,1594
75,1591.333,3158.792,125.791,513.75,11.666,3457.834,3990.292,5528.333,524.375,927.667,33.792,1755.833,0.208,1739.25,0.25,1590.958
76,1580.5,3191.458,125.917,527.375,11.625,3467.666,4250.5,5774.292,522.917,937.584,28.125,1755.334,0.208,1749.167,0.208,1588.584
77,1775.583,3265.208,125.75,521.958,11.667,3504.917,3867.959,5501.083,520.333,928.333,27.75,1769,0.208,1735.583,0.209,1610.292
78,1569.375,3103.875,126,513.791,11.708,3433.584,3881.208,5678.833,532.5,928.666,27.917,1787.458,0.25,1706.584,0.209,1644.541
79,1571.833,3235.125,125.916,514.083,11.708,3545.791,4035.083,5777.375,533.125,956.125,27.75,1745.583,0.25,1726.667,0.209,1591.125
80,1500.042,3080.417,126.084,513.875,11.75,3554.959,3925.042,5493.833,522.667,925,28,1754.25,0.25,1770.792,0.209,1598.125
81,1481.084,3159.417,125.666,513.917,11.709,3441.917,4191.209,5679.209,516.042,950.417,28.334,1770.334,0.25,1831.667,0.209,1637.083
82,1497.209,3940.708,125.792,513.792,11.708,3443.583,3907.334,5573.541,517.958,920.667,28.5,1757.584,0.25,1837.208,0.209,1747.667
83,1517.625,3440.667,125.916,513.625,12.375,3463.208,3889.834,5665.5,547.333,978.208,27.917,1800.167,0.208,1766.958,0.209,1619.333
84,1475.833,3132.708,125.834,513.791,11.708,3451.5,4019.584,5506.541,532.375,920.667,28.042,1807.208,0.208,1751.583,0.208,1588.166
85,1486.708,3150.958,126.042,513.792,11.708,3520.958,4046.375,5612.25,562.167,954.708,27.875,1803.75,0.208,1784.167,0.208,1748.958
86,1504.458,3105.916,125.583,514.875,11.75,3485.041,4074.959,5565.333,521.084,924.167,28.292,1771.834,0.25,1768.375,0.208,1767.958
87,1476.875,3437.167,130.708,513.666,11.75,3530.708,3920.791,5556.625,553.916,928.167,27.75,1765.666,0.25,1733.25,0.25,1712.458
88,1769.5,3268.166,125.458,513.792,11.708,3426,3909.5,5467.625,541.166,943.125,28.083,1782.541,0.25,1736.292,0.25,1687.083
89,1550.25,3155.5,125.75,513.791,11.667,3510.208,3983.959,5620.541,540.667,928.792,28.208,1796.375,0.25,1710.625,0.25,1683.292
90,1497.667,3166.625,125.708,513.708,11.708,3515.709,3889.625,5460.667,524.084,920.667,28.125,1787.792,0.25,1747.959,0.208,1593.75
91,1499.583,3363.5,126,513.75,11.708,3451.833,3981.417,5636.5,542.916,964.417,28.167,1754.75,0.209,1785.709,0.208,1634.166
92,1514.625,3186.875,125.417,518.792,11.708,3518,3930.959,5595.5,541.958,926.708,27.958,1733.667,0.209,1747.875,0.208,1679.5
93,1490.875,3178.5,125.75,513.958,23.583,3542.458,4259.208,5583.084,514.5,976.583,28.042,1790.625,0.209,1706.458,0.25,1811.791
94,1588.625,3338.375,125.792,513.708,11.667,3457.292,3990.333,5663.5,516.417,931.666,28.083,1779.166,0.25,1718.917,0.209,1646.667
95,1545.917,3301.666,130,513.916,11.667,3484.917,3983.834,5473.5,531.125,934.833,27.833,1772.041,0.25,1778.667,0.209,1625.625
96,1489.791,3511.209,125.791,513.791,11.709,3519.25,3962.791,5456.834,525.209,935.208,28.25,1749.792,0.25,1767.833,0.209,1659
97,1596.084,3254.375,125.542,527.875,11.958,3485,3905.25,5562.417,548.458,955.833,27.959,1766.625,0.25,1721.625,0.209,1608.958
98,1526.416,3172,125.541,513.667,24.083,3497.834,3889.792,6086,521.208,930.667,28.125,1760.834,0.25,1720.875,0.209,1611.208
99,1511.917,3183,125.833,513.917,11.583,3445.125,4100.625,5715.959,517.417,918.25,28.041,1781.958,0.25,1775.5,0.25,1732.292
100,1522.042,3115.583,125.834,515.292,11.75,3438.75,4265.25,5744.791,531.334,920.625,28.125,1761.916,0.208,1748.458,0.208,1675.125
101,1554.708,3137.625,128.208,513.583,11.709,3508.125,4097.875,5561.5,538.167,956.709,28.166,1739.542,0.208,1737.208,0.208,1674.209
102,1661.375,3229.25,125.708,513.667,11.708,3464.5,3935.292,5777.125,531.167,958.792,35.417,1829.208,0.208,1768,0.208,1680.084
103,1579.667,3178.75,130.125,513.875,11.75,3481.916,3999.667,5585.292,517.834,924.875,38.5,1792.583,0.25,1734.667,0.25,1733.416
104,1484.917,3078.958,125.792,513.792,11.709,3439.209,3953.833,5684.375,553.375,920.583,28.083,1774.375,0.208,1715.083,0.208,1719.125
105,1529.5,3138.875,125.833,513.833,11.708,3473.292,4048.208,5900.458,522.333,919.375,28.083,1741.875,0.25,1726.375,0.208,1772.75
106,1747.125,3189.208,125.833,513.958,11.667,3488.083,4013.333,5537.667,523.791,932.625,27.917,1743.625,0.209,1725,0.208,1615.5
107,1594.166,3178.833,126.042,513.917,11.708,3451.042,3993.917,5493.167,525,946.875,37,1771.334,0.209,1750.083,0.208,1656.709
108,1506.542,3062.25,125.917,513.625,11.708,3445.125,4113.584,6271.333,519,938.375,28.125,1762.625,0.209,1723.5,0.25,1728.625
109,1576.041,3073.292,125.791,513.833,11.709,3441.084,4237.542,5522.333,541.708,928.583,27.959,1770.292,0.25,1759.125,0.334,1834.5
110,1542.75,3246.167,126.042,513.875,11.75,3489.375,3998.875,5870.708,527.625,934.917,27.917,1742.75,0.25,1767.917,0.208,1740.167
111,1506.375,3151.042,125.708,513.791,11.75,3514.667,3934.208,5874.459,537.25,920.792,28.166,1848.458,0.25,1725.833,0.208,1601.542
112,1488.5,3071.375,125.708,519.833,11.709,3534.834,3932.333,5722.667,529.375,937.375,31.584,1819.625,0.25,1801.084,0.208,1621.833
113,1486.5,3262.541,125.584,514,11.708,3505.25,4041.5,5787.333,519.75,949.166,35.083,1811.709,0.25,1860.334,0.208,1677.917
114,1653,3106.458,125.5,513.541,11.709,3529.834,4050.25,5681.792,528,949.75,37.25,1751.042,0.25,1788.791,0.208,1611.542
115,1589.875,3131.167,126.083,513.875,11.667,3483.375,4085.875,5868.083,525.125,920.791,28.125,1831.959,0.208,1829.041,0.208,1627.958
116,1512.167,3284.791,137.541,513.791,11.708,3554.041,4225.625,5533.25,518.25,964.666,27.708,1748.458,0.208,1813.125,0.209,1664.25
